transaction_id,client_id,symbol,trade_date,quantity,price,side
T0001,C009,TLT,2026-01-15,984,97.07,BUY
T0002,C005,GS,2026-01-09,57,411.41,BUY
T0003,C008,TLT,2026-01-05,917,94.34,BUY
T0004,C007,GOOGL,2026-01-19,681,146.18,BUY
T0005,C002,AMZN,2026-01-12,990,167.98,SELL
T0006,C001,SPY,2026-01-12,134,561.23,SELL
T0007,C003,GOOGL,2026-01-30,582,161.93,SELL
T0008,C008,TLT,2026-01-23,938,97.5,SELL
T0009,C003,GOOGL,2026-01-21,263,146.37,SELL
T0010,C009,GOOGL,2026-01-29,460,156.06,BUY
T0011,C005,GS,2026-01-13,924,418.58,BUY
T0012,C003,JPM,2026-01-12,166,169.23,BUY
T0013,C002,AMZN,2026-01-20,487,169.42,SELL
T0014,C001,GS,2026-01-20,798,437.23,BUY
T0015,C010,AMZN,2026-01-22,370,168.62,SELL
T0016,C007,AMZN,2026-01-26,569,166.56,BUY
T0017,C008,GS,2026-01-13,39,420.27,SELL
T0018,C006,AMZN,2026-01-08,951,176.87,BUY
T0019,C010,SPY,2026-01-01,616,540.03,BUY
T0020,C002,AMZN,2026-01-07,196,179.87,BUY
T0021,C005,AMZN,2026-01-15,344,168.51,SELL
T0022,C007,TSLA,2026-01-20,93,222.39,SELL
T0023,C001,SPY,2026-01-02,368,554.41,BUY
T0024,C002,AAPL,2026-01-01,214,189.91,BUY
T0025,C010,JPM,2026-01-12,695,167.49,BUY
T0026,C010,GS,2026-01-21,795,433.78,SELL
T0027,C003,TLT,2026-01-28,745,101.08,BUY
T0028,C003,TSLA,2026-01-06,961,219.57,SELL
T0029,C010,AMZN,2026-01-19,213,174.96,BUY
T0030,C010,GS,2026-01-06,318,409.61,BUY
T0031,C010,AAPL,2026-01-16,687,176.14,SELL
T0032,C002,SPY,2026-01-29,879,477.94,SELL
T0033,C008,MSFT,2026-01-20,660,395.82,SELL
T0034,C003,AMZN,2026-01-08,998,176.12,SELL
T0035,C010,SPY,2026-01-22,855,522.42,SELL
T0036,C006,GS,2026-01-05,471,405.88,BUY
T0037,C008,TLT,2026-01-28,354,99.91,BUY
T0038,C008,NVDA,2026-01-08,373,895.99,SELL
T0039,C006,TSLA,2026-01-28,292,228.72,BUY
T0040,C009,GS,2026-01-05,426,405.26,SELL
T0041,C009,GS,2026-01-22,512,442.54,SELL
T0042,C001,MSFT,2026-01-14,718,403.71,BUY
T0043,C005,TLT,2026-01-16,553,98.09,SELL
T0044,C007,SPY,2026-01-15,474,525.11,SELL
T0045,C005,TSLA,2026-01-12,207,219.02,SELL
T0046,C002,SPY,2026-01-08,766,537.51,SELL
T0047,C005,TLT,2026-01-23,112,98.17,BUY
T0048,C005,GS,2026-01-16,24,422.68,BUY
T0049,C005,AAPL,2026-01-02,724,189.65,BUY
T0050,C008,MSFT,2026-01-01,490,413.12,SELL
T0051,C008,NVDA,2026-01-08,268,913.13,SELL
T0052,C002,MSFT,2026-01-19,600,395.18,BUY
T0053,C003,JPM,2026-01-27,97,174.89,BUY
T0054,C002,SPY,2026-01-20,819,533.97,BUY
T0055,C009,AMZN,2026-01-21,314,172.72,SELL
T0056,C005,TLT,2026-01-28,993,97.49,BUY
T0057,C004,GS,2026-01-13,170,424.05,BUY
T0058,C003,SPY,2026-01-05,428,525.76,SELL
T0059,C010,GOOGL,2026-01-14,305,147.77,SELL
T0060,C008,MSFT,2026-01-30,280,396.7,BUY
T0061,C007,MSFT,2026-01-26,162,387.5,SELL
T0062,C003,MSFT,2026-01-02,324,395.33,SELL
T0063,C008,MSFT,2026-01-21,726,399.65,SELL
T0064,C005,SPY,2026-01-26,92,501.11,BUY
